mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
12,24,8,2.3690010807767344e-8,3.064088517455236,roc_auc,hand_till,0.5658441156576165,10,5.815484001678471e-4,Preprocessor1_Model22
16,24,1,8.327272229382791e-10,1.0508203166944868e-8,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model23
16,24,1,8.327272229382791e-10,1.0508203166944868e-8,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model23
24,35,11,3.1582769668881693e-7,1.52438973606297e-8,accuracy,multiclass,0.4833693229239358,10,0.0010386515761908555,Preprocessor1_Model24
24,35,11,3.1582769668881693e-7,1.52438973606297e-8,roc_auc,hand_till,0.6765748295279371,10,8.064854296841208e-4,Preprocessor1_Model24
24,39,2,5.838979665620532e-7,1.6548175235659155e-10,accuracy,multiclass,0.41960487878766095,10,0.0019751942232745737,Preprocessor1_Model25
24,39,2,5.838979665620532e-7,1.6548175235659155e-10,roc_auc,hand_till,0.5954134142533322,10,0.001032806809106075,Preprocessor1_Model25
23,17,1,0.010946522874781843,2.0360114227061025e-5,accuracy,multiclass,0.4244530594276289,10,0.0015303275950140328,Preprocessor1_Model26
23,17,1,0.010946522874781843,2.0360114227061025e-5,roc_auc,hand_till,0.5970677041410788,10,9.122387874463674e-4,Preprocessor1_Model26
17,11,14,9.449236514650342e-7,9.115262678533917e-8,accuracy,multiclass,0.5509826370810417,10,9.342827819507509e-4,Preprocessor1_Model27
17,11,14,9.449236514650342e-7,9.115262678533917e-8,roc_auc,hand_till,0.7520730517110247,10,6.957004598774698e-4,Preprocessor1_Model27
7,8,4,1.1104534372739765e-8,2.4551412143620354e-7,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model28
7,8,4,1.1104534372739765e-8,2.4551412143620354e-7,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model28
11,26,8,1.0845226379474494e-4,0.03282816957073178,accuracy,multiclass,0.46162667522886885,10,0.0011728024993906327,Preprocessor1_Model29
11,26,8,1.0845226379474494e-4,0.03282816957073178,roc_auc,hand_till,0.6442665729273309,10,8.006707471852597e-4,Preprocessor1_Model29
8,8,9,5.223329241969604e-9,3.172536216025242e-4,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model30
8,8,9,5.223329241969604e-9,3.172536216025242e-4,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model30
19,33,3,3.9319523520341345e-10,12.823068767557933,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model31
19,33,3,3.9319523520341345e-10,12.823068767557933,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model31
17,33,13,2.500808849605035e-8,8.118786305161544e-5,accuracy,multiclass,0.314578820337599,10,0.001286070875148036,Preprocessor1_Model32
17,33,13,2.500808849605035e-8,8.118786305161544e-5,roc_auc,hand_till,0.6688024364797986,10,7.139112009030362e-4,Preprocessor1_Model32
3,6,8,2.9272096543740935e-5,2.684515284860989e-5,accuracy,multiclass,0.42825974725382,10,0.0014866404905924133,Preprocessor1_Model33
3,6,8,2.9272096543740935e-5,2.684515284860989e-5,roc_auc,hand_till,0.6398779837236868,10,8.346113800737941e-4,Preprocessor1_Model33
4,32,3,6.3594977323100485e-9,2.093471492672719e-6,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model34
4,32,3,6.3594977323100485e-9,2.093471492672719e-6,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model34
21,37,13,2.3158140705070777e-4,3.6514546074802634e-7,accuracy,multiclass,0.4983780749593948,10,8.880411142998165e-4,Preprocessor1_Model35
21,37,13,2.3158140705070777e-4,3.6514546074802634e-7,roc_auc,hand_till,0.696887815024684,10,7.737845217804229e-4,Preprocessor1_Model35
2,39,3,2.7044317128040103e-4,0.1283043426891214,accuracy,multiclass,0.3914591027793627,10,0.0012358575177957632,Preprocessor1_Model36
2,39,3,2.7044317128040103e-4,0.1283043426891214,roc_auc,hand_till,0.604899910426969,10,8.829050979864983e-4,Preprocessor1_Model36
20,3,12,0.0056789402495120885,2.54116853080074,accuracy,multiclass,0.6030102259613727,10,0.0011365440076194098,Preprocessor1_Model37
20,3,12,0.0056789402495120885,2.54116853080074,roc_auc,hand_till,0.7901241182390689,10,7.021799344477631e-4,Preprocessor1_Model37
18,37,1,1.2971546622835308e-7,1.1240862828030777e-5,accuracy,multiclass,0.40216150301426873,10,0.001953446907775284,Preprocessor1_Model38
18,37,1,1.2971546622835308e-7,1.1240862828030777e-5,roc_auc,hand_till,0.5762436771625216,10,0.0011521138857739821,Preprocessor1_Model38
10,37,12,0.0048869768559657335,0.0012958482729210536,accuracy,multiclass,0.5132672340313948,10,0.0011152547398642935,Preprocessor1_Model39
10,37,12,0.0048869768559657335,0.0012958482729210536,roc_auc,hand_till,0.7079681889628596,10,8.37272624231423e-4,Preprocessor1_Model39
6,12,5,3.856040660235876e-6,0.0021474265017684974,accuracy,multiclass,0.4213499508423991,10,0.001527613422386205,Preprocessor1_Model40
6,12,5,3.856040660235876e-6,0.0021474265017684974,roc_auc,hand_till,0.6193425745313734,10,9.055835335202416e-4,Preprocessor1_Model40
7,38,7,1.3662361022603563e-9,0.2039477191454549,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model41
